stock_id,name,sector,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,label,rsi,ret_20d,cv_sharpe,cv_win_rate,bias_ma5,bias_ma10,bias_ma20,ma_bull,mom5,mom20,vol20,dist_high60,sector_ret20,sector_strong,chip_dir,taiex_bull,taiex_bias
3552,同致,車用電子,20230518,20230519,146.0,20230814,120.0,SL,58,-17.81,0,59.1,-5.5,0.0,0.0,1.1042,2.0195,2.2152,,4.2705,-5.4839,2.0405,-11.747,-7.0,0.0,,1.0,2.8
3665,貿聯-KY,光通訊,20230518,20230519,261.0,20230707,313.0,MA10,33,19.92,1,61.2,-4.0,0.0,0.0,1.0802,1.3148,1.0997,,1.7476,-4.0293,1.5241,-8.8696,-10.56,0.0,0.0,1.0,2.8
5289,宜鼎,記憶體,20230518,20230519,307.5,20230627,327.0,FLOOR,25,6.34,1,70.0,-0.5,0.0,0.0,2.4218,4.3523,4.3791,,9.1398,-0.4902,2.2178,-5.7276,-1.51,0.0,0.0,1.0,2.8
6257,矽格,封測,20230518,20230519,53.9,20231026,60.2,MA10,108,11.69,1,63.3,-3.3,-4.11,0.5,0.6029,0.7357,1.1076,,1.3283,-3.2609,0.9358,-6.1511,-0.54,0.0,0.0,1.0,2.8
2345,智邦,光通訊,20230519,20230522,284.0,20230608,339.5,MA10,13,19.54,1,46.0,-2.5,0.0,0.0,-0.7503,0.0,-0.5383,,1.0417,-2.5126,1.9529,-8.9202,-8.41,0.0,0.0,1.0,3.2
2388,威盛,IC設計,20230519,20230522,77.1,20230731,133.0,MA10,48,72.5,1,50.3,-3.7,-6.4,0.17,-0.3724,0.8754,0.5909,,1.9048,-3.7275,1.8703,-21.9792,-6.46,0.0,,1.0,3.2
2467,志聖,CoPoS封裝,20230519,20230522,49.75,,,OPEN,,,,74.6,1.6,2.31,0.5,2.1259,3.3319,3.3047,,7.1038,1.5544,1.3072,-1.4085,2.63,0.0,,1.0,3.2
3006,晶豪科,記憶體,20230519,20230522,81.0,20230814,68.3,SL,57,-15.68,0,53.3,-5.8,-3.3,0.11,-0.0995,1.7357,1.5299,,1.7744,-5.7512,2.3404,-15.8281,-0.35,0.0,0.0,1.0,3.2
3680,家登,CoPoS封裝,20230519,20230522,367.5,20230704,415.5,MA10,29,13.06,1,73.0,8.1,0.0,0.0,4.0851,6.7432,7.3361,,10.3858,8.1395,3.0575,-0.9321,2.63,0.0,,1.0,3.2
2337,旺宏,記憶體,20230522,20230523,32.8,20231030,27.75,SL,108,-15.4,0,55.3,-3.0,-6.39,0.17,0.5226,0.9883,0.5612,,0.7704,-2.9674,1.7256,-8.5315,2.55,0.0,0.0,1.0,3.16
2408,南亞科,記憶體,20230522,20230523,69.9,,,OPEN,,,,80.6,8.7,-6.13,0.17,2.5154,5.9232,6.188,,9.7027,8.6822,1.8978,0.0,2.55,0.0,0.0,1.0,3.16
2449,京元電子,封測,20230522,20230523,46.8,20230629,56.4,MA10,25,20.51,1,69.8,1.7,-4.15,0.33,0.5587,1.6949,1.5019,,2.407,1.7391,1.1454,-6.0241,2.02,0.0,0.0,1.0,3.16
5443,均豪,CoPoS封裝,20230522,20230523,28.6,20230620,32.05,MA10,20,12.06,1,70.7,0.5,-9.64,0.11,0.8865,1.3177,1.0209,,1.7889,0.53,0.5971,-7.4797,4.22,1.0,,1.0,3.16
6187,萬潤,CoPoS封裝,20230522,20230523,65.5,20230616,89.0,MA10,18,35.88,1,83.7,1.6,-1.95,0.17,2.9132,4.7205,5.2546,,6.2092,1.5625,1.4394,-9.9723,4.22,1.0,,1.0,3.16
6664,群翊,CoPoS封裝,20230522,20230523,114.5,20230627,136.5,MA10,23,19.21,1,61.2,5.0,-0.55,0.5,1.4938,2.439,2.9871,,6.4516,5.0,2.6866,-5.3279,4.22,1.0,,1.0,3.16
1533,車王電,車用電子,20230523,20230524,56.1,20230710,67.0,MA10,31,19.43,1,54.4,5.5,-8.76,0.17,-0.4613,2.0185,1.2635,,4.0816,5.4511,3.0772,-4.2662,0.67,0.0,,1.0,3.14
2344,華邦電,記憶體,20230523,20230524,26.0,,,OPEN,,,,60.1,1.0,-4.75,0.33,-0.1957,3.1345,2.5023,,5.8091,0.9901,1.9336,-5.2045,3.82,1.0,0.0,1.0,3.14
2388,威盛,IC設計,20230523,20230524,76.5,20230612,83.9,MA10,13,9.67,1,65.2,-0.1,-6.4,0.17,1.1015,2.951,3.5247,,1.9841,-0.1295,1.9636,-19.6875,-4.0,0.0,,1.0,3.14
2455,全新,光通訊,20230523,20230524,95.8,20230626,123.0,MA10,21,28.39,1,51.4,1.2,-7.37,0.11,0.3348,0.3978,0.8677,,1.8047,1.1603,3.0664,-4.1,-3.11,0.0,0.0,1.0,3.14
3006,晶豪科,記憶體,20230523,20230524,82.6,20230814,68.3,SL,55,-17.31,0,65.4,-0.4,-3.3,0.11,1.2225,3.5647,4.8367,,4.1509,-0.361,2.3382,-13.2075,3.82,1.0,0.0,1.0,3.14
3450,聯鈞,光通訊,20230523,20230524,37.05,20230719,40.85,MA10,38,10.26,1,71.2,-0.8,-2.22,0.44,1.309,2.6527,1.8366,,3.7709,-0.8011,0.9923,-12.2786,-3.11,0.0,0.0,1.0,3.14
3583,辛耘,CoPoS封裝,20230523,20230524,97.2,20230626,155.0,MA10,21,59.47,1,82.0,13.3,-4.35,0.33,1.3238,7.0468,8.7432,,10.4329,13.3257,1.9219,-0.5,4.02,1.0,,1.0,3.14
4906,正文,光通訊,20230523,20230524,30.65,20230904,36.2,MA10,70,18.11,1,62.6,-2.7,-13.09,0.0,1.3223,1.8949,1.3726,,3.1987,-2.6984,1.4653,-5.6923,-3.11,0.0,0.0,1.0,3.14
6510,精測,封測,20230523,20230524,476.5,20230621,566.0,MA10,20,18.78,1,53.4,-2.6,0.0,0.0,0.5469,1.3034,0.7801,,1.4862,-2.6477,1.9609,-24.0064,2.2,0.0,0.0,1.0,3.14
6187,萬潤,CoPoS封裝,20230524,20230525,69.2,20230616,89.0,MA10,16,28.61,1,86.6,7.4,-1.95,0.17,1.2327,4.3188,5.8227,,6.8293,7.3529,1.1395,-9.0028,-2.26,0.0,,1.0,2.89
3205,十銓,記憶體,20230525,20230526,49.0,20230920,41.55,SL,80,-15.2,0,67.0,11.8,-10.73,0.11,2.2293,9.258,8.6723,1.0,15.7452,11.8467,4.2677,-3.8922,6.95,1.0,0.0,1.0,3.64
8086,宏捷科,光通訊,20230525,20230526,81.3,20230717,96.6,MA10,34,18.82,1,52.5,-2.4,-8.21,0.22,0.025,1.4456,0.1502,0.0,2.5641,-2.439,2.0023,-14.9841,-0.07,0.0,0.0,1.0,3.64
